value,scope,type,description,column_format
ngsTargetLocationBallSnapOffsetAtPassOutcomeX,GAME_EVENT,FLOAT,NULL,event.ngsTargetLocationBallSnapOffsetAtPassOutcomeX
ngsTargetIsolated,GAME_EVENT,FLAG,NULL,event.ngsTargetIsolated
ngsTargetExpectedYardsAfterCatch,GAME_EVENT,FLOAT,NULL,event.ngsTargetExpectedYardsAfterCatch
ngsTargetDistanceFromSideline,GAME_EVENT,FLOAT,NULL,event.ngsTargetDistanceFromSideline
ngsTargetDistanceFromEndzone,GAME_EVENT,FLOAT,NULL,event.ngsTargetDistanceFromEndzone
ngsTargetDefendersWithinTwoYardsAtPassArrived,GAME_EVENT,INT,NULL,event.ngsTargetDefendersWithinTwoYardsAtPassArrived
ngsTargetCushion,GAME_EVENT,FLOAT,NULL,event.ngsTargetCushion
ngsTargetComputedYardsAfterCatchRounded,GAME_EVENT,INT,NULL,event.ngsTargetComputedYardsAfterCatchRounded
ngsTargetComputedYardsAfterCatch,GAME_EVENT,FLOAT,NULL,event.ngsTargetComputedYardsAfterCatch
ngsSnapToTouchdownTime,GAME_EVENT,INT,NULL,event.ngsSnapToTouchdownTime
ngsSnapToTackleTime,GAME_EVENT,INT,NULL,event.ngsSnapToTackleTime
ngsSnapToSackTime,GAME_EVENT,INT,NULL,event.ngsSnapToSackTime
ngsSnapToRunTime,GAME_EVENT,INT,NULL,event.ngsSnapToRunTime
ngsSnapToPlayEndTime,GAME_EVENT,INT,NULL,event.ngsSnapToPlayEndTime
ngsSnapToPassOutcomeTime,GAME_EVENT,INT,NULL,event.ngsSnapToPassOutcomeTime
ngsSnapToPassForwardTime,GAME_EVENT,INT,NULL,event.ngsSnapToPassForwardTime
ngsSnapToPassArrivedTime,GAME_EVENT,INT,NULL,event.ngsSnapToPassArrivedTime
ngsSnapToOutOfBoundsTime,GAME_EVENT,INT,NULL,event.ngsSnapToOutOfBoundsTime
ngsSnapToKickBlockTime,GAME_EVENT,INT,NULL,event.ngsSnapToKickBlockTime
ngsSnapToHandoffTime,GAME_EVENT,INT,NULL,event.ngsSnapToHandoffTime
ngsSnapToFirstContactTime,GAME_EVENT,INT,NULL,event.ngsSnapToFirstContactTime
ngsSnapLocationLOSMidOffset,GAME_EVENT,FLOAT,NULL,event.ngsSnapLocationLOSMidOffset
ngsSackerGetOffTime,GAME_EVENT,INT,NULL,event.ngsSackerGetOffTime
ngsRushYardsOverExpected,GAME_EVENT,FLOAT,NULL,event.ngsRushYardsOverExpected
ngsRushYardsGainedBeforeCloseIn,GAME_EVENT,FLOAT,NULL,event.ngsRushYardsGainedBeforeCloseIn
ngsRushYardsGainedAfterCloseIn,GAME_EVENT,FLOAT,NULL,event.ngsRushYardsGainedAfterCloseIn
ngsRushYardsBeforeContactRounded,GAME_EVENT,INT,NULL,event.ngsRushYardsBeforeContactRounded
ngsRushYardsBeforeContact,GAME_EVENT,FLOAT,NULL,event.ngsRushYardsBeforeContact
ngsRushYardsAfterContactRounded,GAME_EVENT,INT,NULL,event.ngsRushYardsAfterContactRounded
ngsRushYardsAfterContact,GAME_EVENT,FLOAT,NULL,event.ngsRushYardsAfterContact
ngsRushTimeToLOS,GAME_EVENT,INT,NULL,event.ngsRushTimeToLOS
ngsRushSpeedAtLOS,GAME_EVENT,FLOAT,NULL,event.ngsRushSpeedAtLOS
ngsRushPreSnapLocation,GAME_EVENT,ENUM,NULL,event.ngsRushPreSnapLocation
ngsRushLocation,GAME_EVENT,ENUM,NULL,event.ngsRushLocation
ngsRushExpectedYardsWidth,GAME_EVENT,FLOAT,NULL,event.ngsRushExpectedYardsWidth
ngsRushExpectedYardsUpper,GAME_EVENT,FLOAT,NULL,event.ngsRushExpectedYardsUpper
ngsRushExpectedYardsLower,GAME_EVENT,FLOAT,NULL,event.ngsRushExpectedYardsLower
ngsRushExpectedYards,GAME_EVENT,FLOAT,NULL,event.ngsRushExpectedYards
ngsRusherPlayPositionDetailedGroup,GAME_EVENT,ENUM,Rusher Play Position Detailed Group,event.ngsRusherPlayPositionDetailedGroup
ngsRusherLocationBallSnapOffsetAtPastTackleBoxY,GAME_EVENT,FLOAT,NULL,event.ngsRusherLocationBallSnapOffsetAtPastTackleBoxY
ngsRusherLocationBallSnapOffsetAtPastTackleBoxX,GAME_EVENT,FLOAT,NULL,event.ngsRusherLocationBallSnapOffsetAtPastTackleBoxX
ngsRusherLocationBallSnapOffsetAtLOSY,GAME_EVENT,FLOAT,NULL,event.ngsRusherLocationBallSnapOffsetAtLOSY
ngsRusherLocationBallSnapOffsetAtLOSX,GAME_EVENT,FLOAT,NULL,event.ngsRusherLocationBallSnapOffsetAtLOSX
ngsRunStuff,GAME_EVENT,FLAG,NULL,event.ngsRunStuff
ngsReceiverRouteRun,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsReceiverRouteRun
ngsReceiverIsolated,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsReceiverIsolated
ngsQBScrambleYards,GAME_EVENT,FLOAT,NULL,event.ngsQBScrambleYards
ngsPlayTrackingData,GAME_EVENT,FLAG,NGS Play Tracking Data,event.ngsPlayTrackingData
ngsPlayTeamPrePlayWinProbability,GAME_EVENT_ENTITY,FLOAT,Team Win Probability Pre Snap,event.ngsPlayTeamPrePlayWinProbability
ngsPlayTeamPostPlayWinProbability,GAME_EVENT_ENTITY,FLOAT,Team Win Probability After the Play,event.ngsPlayTeamPostPlayWinProbability
ngsPlayTeamPlayWinProbabilityAdded,GAME_EVENT_ENTITY,FLOAT,Team Win Probability Added on Play,event.ngsPlayTeamPlayWinProbabilityAdded
ngsPlaySummaryData,GAME_EVENT,FLAG,NGS Play Summary Data,event.ngsPlaySummaryData
ngsPlayPositionSlot,GAME_EVENT_ENTITY,FLAG,Play Position in Slot,event.ngsPlayPositionSlot
ngsPlayPositionRight,GAME_EVENT_ENTITY,FLAG,Play Position on Right,event.ngsPlayPositionRight
ngsPlayPositionLeft,GAME_EVENT_ENTITY,FLAG,Play Position on Left,event.ngsPlayPositionLeft
ngsPlayOffensiveStatsYards,GAME_EVENT,INT,NGS Offensive Yards,event.ngsPlayOffensiveStatsYards
ngsPlayOffensiveStatsTrackingPassProbability,GAME_EVENT,FLOAT,NGS Pass Probability with Tracking,event.ngsPlayOffensiveStatsTrackingPassProbability
ngsPlayOffensiveStatsTotWeight,GAME_EVENT,FLOAT,NGS Total Offensive Player Weight,event.ngsPlayOffensiveStatsTotWeight
ngsPlayOffensiveStatsTimeBetweenPreviousPlayToSnap,GAME_EVENT,INT,NGS Offensive Time Between Previous Play to Snap,event.ngsPlayOffensiveStatsTimeBetweenPreviousPlayToSnap
ngsPlayOffensiveStatsTimeBetweenHuddleBreakAndSnap,GAME_EVENT,INT,NGS Offensive Time Between Huddle Break and Snap,event.ngsPlayOffensiveStatsTimeBetweenHuddleBreakAndSnap
ngsPlayOffensiveStatsShotgun,GAME_EVENT,FLAG,NGS Offensive Formation is Shotgun,event.ngsPlayOffensiveStatsShotgun
ngsPlayOffensiveStatsPlayAction,GAME_EVENT,FLAG,NGS Offensive Play Action Flag,event.ngsPlayOffensiveStatsPlayAction
ngsPlayOffensiveStatsPistol,GAME_EVENT,FLAG,NGS Offensive Formation is Pistol,event.ngsPlayOffensiveStatsPistol
ngsPlayOffensiveStatsNonTrackingPassProbability,GAME_EVENT,FLOAT,NGS Pass Probability without Tracking,event.ngsPlayOffensiveStatsNonTrackingPassProbability
ngsPlayOffensiveStatsFormationWideCount,GAME_EVENT,INT,NGS Offensive Formation Wide Count,event.ngsPlayOffensiveStatsFormationWideCount
ngsPlayOffensiveStatsFormationTrips,GAME_EVENT,FLAG,NGS Offensive Formation Trips,event.ngsPlayOffensiveStatsFormationTrips
ngsPlayOffensiveStatsFormationTightRightCount,GAME_EVENT,INT,NGS Offensive Formation Tight Right Count,event.ngsPlayOffensiveStatsFormationTightRightCount
ngsPlayOffensiveStatsFormationTightLeftCount,GAME_EVENT,INT,NGS Offensive Formation Tight Left Count,event.ngsPlayOffensiveStatsFormationTightLeftCount
ngsPlayOffensiveStatsFormationRightCount,GAME_EVENT,INT,NGS Offensive Formation Right Count,event.ngsPlayOffensiveStatsFormationRightCount
ngsPlayOffensiveStatsFormationQBUnderCenter,GAME_EVENT,FLAG,NGS Offensive Formation QB Under Center,event.ngsPlayOffensiveStatsFormationQBUnderCenter
ngsPlayOffensiveStatsFormationQBOnField,GAME_EVENT,FLAG,NGS Offensive Formation QB on Field,event.ngsPlayOffensiveStatsFormationQBOnField
ngsPlayOffensiveStatsFormationQBLinedUpAsQb,GAME_EVENT,FLAG,NGS Offensive Formation QB Lined up as QB,event.ngsPlayOffensiveStatsFormationQBLinedUpAsQb
ngsPlayOffensiveStatsFormationPlayersOnLine,GAME_EVENT,INT,NGS Offensive Formation On Line Count,event.ngsPlayOffensiveStatsFormationPlayersOnLine
ngsPlayOffensiveStatsFormationLeftCount,GAME_EVENT,INT,NGS Offensive Formation Left Count,event.ngsPlayOffensiveStatsFormationLeftCount
ngsPlayOffensiveStatsFormationHasDetachedOline,GAME_EVENT,FLAG,NGS Offensive Formation Detached O-Line,event.ngsPlayOffensiveStatsFormationHasDetachedOline
ngsPlayOffensiveStatsFormationDetachedRightCount,GAME_EVENT,INT,NGS Offensive Formation Detached Right Count,event.ngsPlayOffensiveStatsFormationDetachedRightCount
ngsPlayOffensiveStatsFormationDetachedLeftCount,GAME_EVENT,INT,NGS Offensive Formation Detached Left Count,event.ngsPlayOffensiveStatsFormationDetachedLeftCount
ngsPlayOffensiveStatsFormationBundledRight,GAME_EVENT,FLAG,NGS Offensive Formation Bundled Right,event.ngsPlayOffensiveStatsFormationBundledRight
ngsPlayOffensiveStatsFormationBundledLeft,GAME_EVENT,FLAG,NGS Offensive Formation Bundled Left,event.ngsPlayOffensiveStatsFormationBundledLeft
ngsPlayOffensiveStatsFormationBunchedRight,GAME_EVENT,FLAG,NGS Offensive Formation Bunched Right,event.ngsPlayOffensiveStatsFormationBunchedRight
ngsPlayOffensiveStatsFormationBunchedLeft,GAME_EVENT,FLAG,NGS Offensive Formation Bunched Left,event.ngsPlayOffensiveStatsFormationBunchedLeft
ngsPlayOffensiveStatsFormationBehindQbPlayerCount,GAME_EVENT,INT,NGS Offensive Formation Behind QB Count,event.ngsPlayOffensiveStatsFormationBehindQbPlayerCount
ngsPlayOffensiveStatsFormationBackfieldPlayerCount,GAME_EVENT,INT,NGS Offensive Formation Backfield Count,event.ngsPlayOffensiveStatsFormationBackfieldPlayerCount
ngsPlayOffensiveStatsFormationBackfieldAlignment,GAME_EVENT,ENUM,NGS Offensive Formation Backfield Alignment,event.ngsPlayOffensiveStatsFormationBackfieldAlignment
ngsPlayOffensiveStatsFormation,GAME_EVENT,ENUM,NGS Offensive Formation,event.ngsPlayOffensiveStatsFormation
ngsPlayOffensiveStatsAVGHeight,GAME_EVENT,FLOAT,NGS Average Offensive Player Height,event.ngsPlayOffensiveStatsAVGHeight
ngsPlayOffensePrePlayWinProbability,GAME_EVENT,FLOAT,Offense Win Probability Pre Snap,event.ngsPlayOffensePrePlayWinProbability
ngsPlayOffensePostPlayWinProbability,GAME_EVENT,FLOAT,Offense Win Probability After the Play,event.ngsPlayOffensePostPlayWinProbability
ngsPlayOffensePlayWinProbabilityAdded,GAME_EVENT,FLOAT,Offense Win Probability Added on Play,event.ngsPlayOffensePlayWinProbabilityAdded
ngsPlayOffenseExpectedPointsAdded,GAME_EVENT,FLOAT,Offense Expected Points Added on Play,event.ngsPlayOffenseExpectedPointsAdded
ngsPlayOffenseExpectedPoints,GAME_EVENT,FLOAT,Offense Expected Points Pre Snap,event.ngsPlayOffenseExpectedPoints
ngsPlayHasRunPassOptionEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasRunPassOptionEvent
ngsPlayHasPassShovelEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasPassShovelEvent
ngsPlayHasPassLateralEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasPassLateralEvent
ngsPlayHasOutOfBoundsEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasOutOfBoundsEvent
ngsPlayHasMuffedEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasMuffedEvent
ngsPlayHasLateralEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasLateralEvent
ngsPlayHasKneelEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasKneelEvent
ngsPlayHasDropKickEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasDropKickEvent
ngsPlayHasDirectSnapEvent,GAME_EVENT,FLAG,NULL,event.ngsPlayHasDirectSnapEvent
ngsPlayerTargetSideOfCenterNumber,GAME_EVENT,INT,NGS Target Receiver Number,event.ngsPlayerTargetSideOfCenterNumber
ngsPlayerTargetReceiverNumber,GAME_EVENT,INT,NGS Target Receiver Number,event.ngsPlayerTargetReceiverNumber
ngsPlayerReceiverRight5Route,GAME_EVENT,ENUM,NGS Player Right Side Receiver 5 (Outside to Inside) Route,event.ngsPlayerReceiverRight5Route
ngsPlayerReceiverRight5Position,GAME_EVENT,ENUM,NGS Player Right Side Receiver 5 (Outside to Inside) Position,event.ngsPlayerReceiverRight5Position
ngsPlayerReceiverRight5Id,GAME_EVENT,INT,NGS Player Right Side Receiver 5 (Outside to Inside) ID,event.ngsPlayerReceiverRight5Id
ngsPlayerReceiverRight5,GAME_EVENT_ENTITY,FLAG,NGS Player Right Side Receiver 5 (Outside to Inside) Flag,event.ngsPlayerReceiverRight5
ngsPlayerReceiverRight4Route,GAME_EVENT,ENUM,NGS Player Right Side Receiver 4 (Outside to Inside) Route,event.ngsPlayerReceiverRight4Route
ngsPlayerReceiverRight4Position,GAME_EVENT,ENUM,NGS Player Right Side Receiver 4 (Outside to Inside) Position,event.ngsPlayerReceiverRight4Position
ngsPlayerReceiverRight4Id,GAME_EVENT,INT,NGS Player Right Side Receiver 4 (Outside to Inside) ID,event.ngsPlayerReceiverRight4Id
ngsPlayerReceiverRight4,GAME_EVENT_ENTITY,FLAG,NGS Player Right Side Receiver 4 (Outside to Inside) Flag,event.ngsPlayerReceiverRight4
ngsPlayerReceiverRight3Route,GAME_EVENT,ENUM,NGS Player Right Side Receiver 3 (Outside to Inside) Route,event.ngsPlayerReceiverRight3Route
ngsPlayerReceiverRight3Position,GAME_EVENT,ENUM,NGS Player Right Side Receiver 3 (Outside to Inside) Position,event.ngsPlayerReceiverRight3Position
ngsPlayerReceiverRight3Id,GAME_EVENT,INT,NGS Player Right Side Receiver 3 (Outside to Inside) ID,event.ngsPlayerReceiverRight3Id
ngsPlayerReceiverRight3,GAME_EVENT_ENTITY,FLAG,NGS Player Right Side Receiver 3 (Outside to Inside) Flag,event.ngsPlayerReceiverRight3
ngsPlayerReceiverRight2Route,GAME_EVENT,ENUM,NGS Player Right Side Receiver 2 (Outside to Inside) Route,event.ngsPlayerReceiverRight2Route
ngsPlayerReceiverRight2Position,GAME_EVENT,ENUM,NGS Player Right Side Receiver2 (Outside to Inside) Position,event.ngsPlayerReceiverRight2Position
ngsPlayerReceiverRight2Id,GAME_EVENT,INT,NGS Player Right Side Receiver 2(Outside to Inside) ID,event.ngsPlayerReceiverRight2Id
ngsPlayerReceiverRight2,GAME_EVENT_ENTITY,FLAG,NGS Player Right Side Receiver 2 (Outside to Inside) Flag,event.ngsPlayerReceiverRight2
ngsPlayerReceiverRight1Route,GAME_EVENT,ENUM,NGS Player Right Side Receiver 1 (Outside to Inside) Route,event.ngsPlayerReceiverRight1Route
ngsPlayerReceiverRight1Position,GAME_EVENT,ENUM,NGS Player Right Side Receiver 1 (Outside to Inside) Position,event.ngsPlayerReceiverRight1Position
ngsPlayerReceiverRight1Id,GAME_EVENT,INT,NGS Player Right Side Receiver 1 (Outside to Inside) ID,event.ngsPlayerReceiverRight1Id
ngsPlayerReceiverRight1,GAME_EVENT_ENTITY,FLAG,NGS Player Right Side Receiver 1 (Outside to Inside) Flag,event.ngsPlayerReceiverRight1
ngsPlayerReceiverLeft5Route,GAME_EVENT,ENUM,NGS Player Left Side Receiver 5 (Outside to Inside) Route,event.ngsPlayerReceiverLeft5Route
ngsPlayerReceiverLeft5Position,GAME_EVENT,ENUM,NGS Player Left Side Receiver 5 (Outside to Inside) Position,event.ngsPlayerReceiverLeft5Position
ngsPlayerReceiverLeft5Id,GAME_EVENT,INT,NGS Player Left Side Receiver 5 (Outside to Inside) ID,event.ngsPlayerReceiverLeft5Id
ngsPlayerReceiverLeft5,GAME_EVENT_ENTITY,FLAG,NGS Player Left Side Receiver 5 (Outside to Inside) Flag,event.ngsPlayerReceiverLeft5
ngsPlayerReceiverLeft4Route,GAME_EVENT,ENUM,NGS Player Left Side Receiver 4 (Outside to Inside) Route,event.ngsPlayerReceiverLeft4Route
ngsPlayerReceiverLeft4Position,GAME_EVENT,ENUM,NGS Player Left Side Receiver 4 (Outside to Inside) Position,event.ngsPlayerReceiverLeft4Position
ngsPlayerReceiverLeft4Id,GAME_EVENT,INT,NGS Player Left Side Receiver 4 (Outside to Inside) ID,event.ngsPlayerReceiverLeft4Id
ngsPlayerReceiverLeft4,GAME_EVENT_ENTITY,FLAG,NGS Player Left Side Receiver 4 (Outside to Inside) Flag,event.ngsPlayerReceiverLeft4
ngsPlayerReceiverLeft3Route,GAME_EVENT,ENUM,NGS Player Left Side Receiver 3 (Outside to Inside) Route,event.ngsPlayerReceiverLeft3Route
ngsPlayerReceiverLeft3Position,GAME_EVENT,ENUM,NGS Player Left Side Receiver 3 (Outside to Inside) Position,event.ngsPlayerReceiverLeft3Position
ngsPlayerReceiverLeft3Id,GAME_EVENT,INT,NGS Player Left Side Receiver 3 (Outside to Inside) ID,event.ngsPlayerReceiverLeft3Id
ngsPlayerReceiverLeft3,GAME_EVENT_ENTITY,FLAG,NGS Player Left Side Receiver 3 (Outside to Inside) Flag,event.ngsPlayerReceiverLeft3
ngsPlayerReceiverLeft2Route,GAME_EVENT,ENUM,NGS Player Left Side Receiver 2 (Outside to Inside) Route,event.ngsPlayerReceiverLeft2Route
ngsPlayerReceiverLeft2Position,GAME_EVENT,ENUM,NGS Player Left Side Receiver2 (Outside to Inside) Position,event.ngsPlayerReceiverLeft2Position
ngsPlayerReceiverLeft2Id,GAME_EVENT,INT,NGS Player Left Side Receiver 2(Outside to Inside) ID,event.ngsPlayerReceiverLeft2Id
ngsPlayerReceiverLeft2,GAME_EVENT_ENTITY,FLAG,NGS Player Left Side Receiver 2 (Outside to Inside) Flag,event.ngsPlayerReceiverLeft2
ngsPlayerReceiverLeft1Route,GAME_EVENT,ENUM,NGS Player Left Side Receiver 1 (Outside to Inside) Route,event.ngsPlayerReceiverLeft1Route
ngsPlayerReceiverLeft1Position,GAME_EVENT,ENUM,NGS Player Left Side Receiver 1 (Outside to Inside) Position,event.ngsPlayerReceiverLeft1Position
ngsPlayerReceiverLeft1Id,GAME_EVENT,INT,NGS Player Left Side Receiver 1 (Outside to Inside) ID,event.ngsPlayerReceiverLeft1Id
ngsPlayerReceiverLeft1,GAME_EVENT_ENTITY,FLAG,NGS Player Left Side Receiver 1 (Outside to Inside) Flag,event.ngsPlayerReceiverLeft1
ngsPlayerReceiver5Id,GAME_EVENT,INT,NGS Player Receiver 5 (left to right) ID,event.ngsPlayerReceiver5Id
ngsPlayerReceiver5,GAME_EVENT_ENTITY,FLAG,NGS Player Receiver 5 (left to right) Flag,event.ngsPlayerReceiver5
ngsPlayerReceiver4Id,GAME_EVENT,INT,NGS Player Receiver 4 (left to right) ID,event.ngsPlayerReceiver4Id
ngsPlayerReceiver4,GAME_EVENT_ENTITY,FLAG,NGS Player Receiver 4 (left to right) Flag,event.ngsPlayerReceiver4
ngsPlayerReceiver3Id,GAME_EVENT,INT,NGS Player Receiver 3 (left to right) ID,event.ngsPlayerReceiver3Id
ngsPlayerReceiver3,GAME_EVENT_ENTITY,FLAG,NGS Player Receiver 3 (left to right) Flag,event.ngsPlayerReceiver3
ngsPlayerReceiver2Id,GAME_EVENT,INT,NGS Player Receiver 2 (left to right) ID,event.ngsPlayerReceiver2Id
ngsPlayerReceiver2,GAME_EVENT_ENTITY,FLAG,NGS Player Receiver 2 (left to right) Flag,event.ngsPlayerReceiver2
ngsPlayerReceiver1Id,GAME_EVENT,INT,NGS Player Receiver 1 (left to right) ID,event.ngsPlayerReceiver1Id
ngsPlayerReceiver1,GAME_EVENT_ENTITY,FLAG,NGS Player Receiver 1 (left to right) Flag,event.ngsPlayerReceiver1
ngsPlayerQBId,GAME_EVENT,INT,NGS Player QB ID,event.ngsPlayerQBId
ngsPlayerQB,GAME_EVENT_ENTITY,FLAG,NGS Player QB Flag,event.ngsPlayerQB
ngsPlayerOL5Id,GAME_EVENT,INT,NGS Player OL 5 (left to right) ID,event.ngsPlayerOL5Id
ngsPlayerOL5,GAME_EVENT_ENTITY,FLAG,NGS Player OL 5 (left to right) Flag,event.ngsPlayerOL5
ngsPlayerOL4Id,GAME_EVENT,INT,NGS Player OL 4 (left to right) ID,event.ngsPlayerOL4Id
ngsPlayerOL4,GAME_EVENT_ENTITY,FLAG,NGS Player OL 4 (left to right) Flag,event.ngsPlayerOL4
ngsPlayerOL3Id,GAME_EVENT,INT,NGS Player OL 3 (left to right) ID,event.ngsPlayerOL3Id
ngsPlayerOL3,GAME_EVENT_ENTITY,FLAG,NGS Player OL 3 (left to right) Flag,event.ngsPlayerOL3
ngsPlayerOL2Id,GAME_EVENT,INT,NGS Player OL 2 (left to right) ID,event.ngsPlayerOL2Id
ngsPlayerOL2,GAME_EVENT_ENTITY,FLAG,NGS Player OL 2 (left to right) Flag,event.ngsPlayerOL2
ngsPlayerOL1Id,GAME_EVENT,INT,NGS Player OL 1 (left to right) ID,event.ngsPlayerOL1Id
ngsPlayerOL1,GAME_EVENT_ENTITY,FLAG,NGS Player OL 1 (left to right) Flag,event.ngsPlayerOL1
ngsPlayerLinedUpAsQB,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsPlayerLinedUpAsQB
ngsPlayerEligibleReceiver,GAME_EVENT_ENTITY,FLAG,NULL,event.ngsPlayerEligibleReceiver
ngsPlayDirection,GAME_EVENT,ENUM,Play Direction (RIGHT|LEFT),event.ngsPlayDirection
ngsPlayDiagramURL,GAME_EVENT,STRING_NO_INDEX,NGS Play Diagram URL,event.ngsPlayDiagramURL
ngsPlayDefensiveStatsNumberOfPassRushers,GAME_EVENT,INT,NGS Defensive Pass Rushers,event.ngsPlayDefensiveStatsNumberOfPassRushers
ngsPlayDefensiveStatsNumberOfHighSafeties,GAME_EVENT,INT,NGS Defensive High Safeties,event.ngsPlayDefensiveStatsNumberOfHighSafeties
ngsPlayDefensiveStatsDefendersInTheBox,GAME_EVENT,INT,NGS Defensive Defenders In Box,event.ngsPlayDefensiveStatsDefendersInTheBox
ngsPlayDefensiveStatsAVGSeparationToQb,GAME_EVENT,FLOAT,NGS Defensive Avg Separation to QB,event.ngsPlayDefensiveStatsAVGSeparationToQb
ngsPlayActualYardsToGoDiff,GAME_EVENT,FLOAT,Play Actual Yards to Go Minus Official Yards to Go,event.ngsPlayActualYardsToGoDiff
ngsPlayActualYardsToGo,GAME_EVENT,FLOAT,Play Actual Yards to Go,event.ngsPlayActualYardsToGo
ngsPerformanceHideData,GAME_EVENT_ENTITY,FLAG,Hide Player Performance Data for this Play,event.ngsPerformanceHideData
ngsPassTimeInAir,GAME_EVENT,INT,NULL,event.ngsPassTimeInAir
ngsPassRouteGroupWHEELCount,GAME_EVENT,INT,NGS Route Count for WHEEL,event.ngsPassRouteGroupWHEELCount
ngsPassRouteGroupSLANTCount,GAME_EVENT,INT,NGS Route Count for SLANT,event.ngsPassRouteGroupSLANTCount
ngsPassRouteGroupSCREENCount,GAME_EVENT,INT,NGS Route Count for SCREEN,event.ngsPassRouteGroupSCREENCount
ngsPassRouteGroupPOSTCount,GAME_EVENT,INT,NGS Route Count for POST,event.ngsPassRouteGroupPOSTCount
ngsPassRouteGroupOUTCount,GAME_EVENT,INT,NGS Route Count for OUT,event.ngsPassRouteGroupOUTCount
ngsPassRouteGroupINCount,GAME_EVENT,INT,NGS Route Count for IN,event.ngsPassRouteGroupINCount
ngsPassRouteGroupHITCHCount,GAME_EVENT,INT,NGS Route Count for HITCH,event.ngsPassRouteGroupHITCHCount
ngsPassRouteGroupGOCount,GAME_EVENT,INT,NGS Route Count for GO,event.ngsPassRouteGroupGOCount
ngsPassRouteGroupFLATCount,GAME_EVENT,INT,NGS Route Count for FLAT,event.ngsPassRouteGroupFLATCount
ngsPassRouteGroupCROSSCount,GAME_EVENT,INT,NGS Route Count for CROSS,event.ngsPassRouteGroupCROSSCount
ngsPassRouteGroupCORNERCount,GAME_EVENT,INT,NGS Route Count for CORNER,event.ngsPassRouteGroupCORNERCount
ngsPassRouteGroupANGLECount,GAME_EVENT,INT,NGS Route Count for ANGLE,event.ngsPassRouteGroupANGLECount
ngsPassRouteCount,GAME_EVENT,INT,NULL,event.ngsPassRouteCount
ngsPassPasserSpeedAtPassForward,GAME_EVENT,FLOAT,NULL,event.ngsPassPasserSpeedAtPassForward
ngsPassMinSeparationFromPassRusher,GAME_EVENT,FLOAT,NULL,event.ngsPassMinSeparationFromPassRusher
ngsPassMaxSpeed,GAME_EVENT,FLOAT,NULL,event.ngsPassMaxSpeed
ngsPassLocationType,GAME_EVENT,ENUM,NULL,event.ngsPassLocationType
ngsPassLateralDistance,GAME_EVENT,FLOAT,NULL,event.ngsPassLateralDistance
ngsPassHasPassTippedEvent,GAME_EVENT,FLAG,NULL,event.ngsPassHasPassTippedEvent
ngsPassHasDroppedPassEvent,GAME_EVENT,FLAG,NULL,event.ngsPassHasDroppedPassEvent
ngsPassFirstContactBeforePassOutcome,GAME_EVENT,FLAG,NULL,event.ngsPassFirstContactBeforePassOutcome
ngsPasserLocationSticksMidOffsetAtPassOutcomeX,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationSticksMidOffsetAtPassOutcomeX
ngsPasserLocationLOSMidOffsetAtThrowY,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationLOSMidOffsetAtThrowY
ngsPasserLocationLOSMidOffsetAtPassOutcomeY,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationLOSMidOffsetAtPassOutcomeY
ngsPasserLocationBallSnapOffsetAtThrowY,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationBallSnapOffsetAtThrowY
ngsPasserLocationBallSnapOffsetAtThrowX,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationBallSnapOffsetAtThrowX
ngsPasserLocationBallSnapOffsetAtPassOutcomeY,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationBallSnapOffsetAtPassOutcomeY
ngsPasserLocationBallSnapOffsetAtPassOutcomeX,GAME_EVENT,FLOAT,NULL,event.ngsPasserLocationBallSnapOffsetAtPassOutcomeX
ngsPassDropped,GAME_EVENT,FLAG,NULL,event.ngsPassDropped
ngsPassDropBackType,GAME_EVENT,ENUM,NULL,event.ngsPassDropBackType
ngsPassDropBackDistance,GAME_EVENT,FLOAT,NULL,event.ngsPassDropBackDistance
ngsPassDefended,GAME_EVENT,FLAG,NGS Pass Defended,event.ngsPassDefended
ngsPassCompletionProbability,GAME_EVENT,FLOAT,NULL,event.ngsPassCompletionProbability
ngsPassBlockersCount,GAME_EVENT,INT,NULL,event.ngsPassBlockersCount
ngsPassAvgSpeed,GAME_EVENT,FLOAT,NULL,event.ngsPassAvgSpeed
ngsPassArrivedToFirstContactTime,GAME_EVENT,INT,NULL,event.ngsPassArrivedToFirstContactTime
ngsParticipationWRCount,GAME_EVENT,INT,NGS Participation WR Count,event.ngsParticipationWRCount
